86	http://www.answers.com/topic/86	culinary term
A.Q.	http://www.answers.com/topic/a-q	culinary term
Acesulfame-K	http://www.answers.com/topic/acesulfame-k	Food
Airelle	http://www.answers.com/topic/airelle	Food
Albert sauce	http://www.answers.com/topic/albert-sauce	Role
Alitame	http://www.answers.com/topic/alitame	Food
Alsatian wines	http://www.answers.com/topic/alsatian-wines	Food
Amer Picon	http://www.answers.com/topic/amer-picon	Food
Americano	http://www.answers.com/topic/americano-1	Role
Anaheim chile	http://www.answers.com/topic/anaheim-chile	Food
Anjou pear	http://www.answers.com/topic/anjou-pear	Food
Apalachicola oyster	http://www.answers.com/topic/apalachicola-oyster	Food
Appenzeller; Appenzell	http://www.answers.com/topic/appenzell	Food
Apry	http://www.answers.com/topic/apry	Food
Arborio rice	http://www.answers.com/topic/arborio-rice	Food
Armagnac	http://www.answers.com/topic/armagnac-brandy	Food
Asiago	http://www.answers.com/topic/asiago	Food
Asian celery	http://www.answers.com/topic/asian-celery	Food
Asian noodles	http://www.answers.com/topic/asian-noodles	Food
Asian okra	http://www.answers.com/topic/asian-okra	Food
Asian pear	http://www.answers.com/topic/asian-pear	Food
Assam tea	http://www.answers.com/topic/assam-tea	Food
Asti Spumante	http://www.answers.com/topic/asti-spumante-1	Food
Atlantic croaker	http://www.answers.com/topic/atlantic-croaker	Food
Atlantic oyster	http://www.answers.com/topic/atlantic-oyster	Food
Auslese	http://www.answers.com/topic/auslese	culinary term
B & B	http://www.answers.com/topic/b-b-67	Food
Banbury cake	http://www.answers.com/topic/banbury-cake	Role
Bar-le-Duc	http://www.answers.com/topic/bar-le-duc	Role
Bardolino	http://www.answers.com/topic/bardolino-2	Food
Barolo	http://www.answers.com/topic/barolo	Food
Bartlett pear	http://www.answers.com/topic/bartlett-pear	Food
Bath bun	http://www.answers.com/topic/bath-bun	Role
Bath chaps	http://www.answers.com/topic/bath-chaps	Food
Bavarian cream	http://www.answers.com/topic/bavarian-cream	Role
Bayonne ham	http://www.answers.com/topic/bayonne-ham	Food
Beaujolais	http://www.answers.com/topic/beaujolais-light-red-table-wine	Food
Beerenauslese	http://www.answers.com/topic/beerenauslese	Food
Bel Paese	http://www.answers.com/topic/bel-paese-culinary	Food
Bellelay	http://www.answers.com/topic/bellelay	Food
Bellini	http://www.answers.com/topic/bellini-culinary	Role
Bercy	http://www.answers.com/topic/bercy-1	Role
Bierkäse	http://www.answers.com/topic/bierk-se	Food
Bing cherry	http://www.answers.com/topic/bing-cherry	Food
Black Forest torte	http://www.answers.com/topic/black-forest-torte	Role
Black Russian	http://www.answers.com/topic/black-russian-1	Role
Bloody Mary	http://www.answers.com/topic/bloody-mary	Role
Bombay duck	http://www.answers.com/topic/bombay-duck	Food
Bordeaux	http://www.answers.com/topic/bordeaux-red-or-white-wine	Food
Bosc pear	http://www.answers.com/topic/bosc-pear-1	Food
Boston baked beans	http://www.answers.com/topic/boston-baked-beans	Role
Boston brown bread	http://www.answers.com/topic/boston-brown-bread	Role
Boston cream pie	http://www.answers.com/topic/boston-cream-pie	Role
Bottled-in-Bond	http://www.answers.com/topic/bottled-in-bond	culinary term
Boursault	http://www.answers.com/topic/boursault-culinary	Food
Boursin	http://www.answers.com/topic/boursin	Food
Brazil nut	http://www.answers.com/topic/brazil-nut	Food
Brie	http://www.answers.com/topic/brie	Food
Broccolini	http://www.answers.com/topic/broccolini	Food
Brot	http://www.answers.com/topic/brot	Food
Brunello di Montalcino	http://www.answers.com/topic/brunello-di-montalcino	Food
Brunswick stew	http://www.answers.com/topic/brunswick-stew	Food
Brussels sprouts	http://www.answers.com/topic/brussels-sprout	Food
Bryndza; Brinza	http://www.answers.com/topic/br-nza	Food
Buffalo wings	http://www.answers.com/topic/buffalo-wings	Role
Bundnerfleisch	http://www.answers.com/topic/bundnerfleisch	Role
